transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,fraud_type
129,704382,2028,5993.748,10-06-2023 13:55,,MasterCard,Pune,Digital,68,
130,995293,2048,17859.546,10-03-2023 00:25,0,Visa,Ahmedabad,Digital,19,scam
131,665060,2044,,03-04-2024 23:16,0,Rupay,Bangalore,Digital,35,Identity theft
132,253438,2092,2337.148,02/23/2024 11:13,0,Visa,Hyderabad,Digital,61,Payment card fraud
133,,2029,10240.362,03/23/2024 07:22,0,Rupay,Mumbai,Digital,27,phishing
134,148881,2015,1328.635,10/23/2023 09:39,1,Visa,Pune,Digital,22,Malware
135,426842,2039,8183.62,03-01-2024 14:19,1,Visa,Surat,POS,26,Malware
136,487524,2018,4220.92,02-07-2024 20:21,0,,Hyderabad,,19,scam
137,625482,2017,9664.424,10-05-2023 15:38,0,Rupay,Delhi,Digital,51,Malware
138,,2000,9555.876,02/26/2024 22:54,,Rupay,Pune,POS,55,scam
139,395601,,12103.44,12/18/2023 04:29,1,Rupay,Hyderabad,Digital,48,scam
140,408619,2046,8701.88,12-02-2023 07:11,0,MasterCard,Pune,POS,27,Identity theft
141,552276,2065,5546.808,03/27/2024 23:25,0,Rupay,Jaipur,POS,67,Identity theft
142,236003,2091,940.665,10-05-2023 22:37,0,MasterCard,Bangalore,Digital,29,scam
143,460715,2093,4871.58,01-08-2024 10:09,0,Visa,Kolkata,Digital,53,Payment card fraud
144,786553,,2131.884,01-07-2024 19:34,1,Visa,,Digital,38,Payment card fraud
145,507122,,8357.712,12-08-2023 08:06,0,Rupay,Jaipur,Digital,66,Malware
,304058,2062,3493.69,02/25/2024 14:03,0,Visa,Hyderabad,Digital,64,Malware
147,917225,2003,9757.32,01/27/2024 21:04,0,Visa,Delhi,Digital,23,scam
148,280587,2000,9641.505,11-07-2023 05:21,1,Rupay,Pune,Digital,,Identity theft
149,284084,2007,9057.048,11-11-2023 13:11,0,Visa,Hyderabad,Digital,66,Identity theft
150,206012,2028,2463.516,,1,Rupay,Surat,Digital,20,phishing
151,826491,2054,8627.04,10/25/2023 20:05,,Rupay,Delhi,POS,,Identity theft
152,799456,2002,13847.145,01/29/2024 05:41,0,Visa,Surat,Digital,22,scam
153,266723,2031,5385.897,03/22/2024 21:44,0,Visa,Jaipur,Digital,63,phishing
,765679,2009,6082.22,03-01-2024 06:18,0,Visa,Ahmedabad,Digital,43,Identity theft
155,751731,2073,,09/28/2023 05:15,1,Visa,,POS,38,Identity theft
156,383598,2082,2684.46,02/27/2024 00:41,0,Visa,Kolkata,Digital,62,Malware
157,582159,2033,5050.53,10/25/2023 21:33,0,,Pune,Digital,43,Malware
158,578099,2096,4016.7,11/20/2023 13:57,1,Visa,Bangalore,POS,55,Payment card fraud
159,730031,2086,1657.062,03-07-2024 10:28,0,,Jaipur,Digital,,Malware
160,876496,2054,4448.364,10/13/2023 11:45,0,Rupay,Hyderabad,POS,43,Identity theft
161,302810,2091,1092.465,01/23/2024 05:52,0,,Jaipur,,25,phishing
162,153259,2031,506.2695,10-03-2023 03:15,0,Visa,Hyderabad,Digital,22,phishing
163,,2049,1673.88,,0,Visa,Jaipur,Digital,32,scam
164,967047,2006,11559.6,12/14/2023 09:59,1,Rupay,Ahmedabad,Digital,33,Malware
165,143241,2092,,01/22/2024 12:31,0,MasterCard,Chennai,Digital,18,Identity theft
166,471240,2007,10625.923,09/27/2023 08:38,0,MasterCard,Bangalore,POS,33,scam
167,750403,2064,5224.02,10/27/2023 11:34,1,Visa,Hyderabad,Digital,54,scam
168,937752,,3152.57,03-05-2024 07:52,0,Visa,,Digital,20,scam
169,683025,2066,7629.165,01/26/2024 05:52,0,Visa,Delhi,Digital,69,scam
170,847727,2087,6634.71,01-02-2024 01:50,0,Visa,Jaipur,Digital,64,Payment card fraud
171,638836,2086,1982.448,10/21/2023 23:18,0,Rupay,Pune,Digital,48,Identity theft
172,189802,2058,7068.842,12-07-2023 21:28,0,Visa,Mumbai,Digital,30,phishing
173,671201,2071,3299.37,01/18/2024 05:00,1,Rupay,Delhi,Digital,33,Identity theft
174,501175,2053,7457.88,03/22/2024 14:01,1,Visa,Surat,Digital,60,Identity theft
175,144823,2066,7823.4,09/26/2023 20:03,0,MasterCard,Kolkata,Digital,38,Identity theft
176,622438,2050,1562.65,09-04-2023 11:03,0,MasterCard,Mumbai,Digital,19,phishing
177,490672,2096,990.645,10/16/2023 02:08,1,Visa,Ahmedabad,Digital,44,Malware
178,372411,2091,11727.87,10/20/2023 04:53,0,Visa,Jaipur,,55,phishing
179,299013,2007,5087.511,12-12-2023 19:05,0,,Chennai,POS,43,Payment card fraud
180,116785,2033,628.73,11/29/2023 20:54,1,Visa,Ahmedabad,Digital,,Identity theft
181,619842,2034,10943.812,,0,Visa,Hyderabad,Digital,63,Malware
182,561621,2095,624.92,10-11-2023 14:42,0,Visa,Mumbai,Digital,42,scam
183,288871,2087,6965.6,11/14/2023 18:45,0,MasterCard,Kolkata,POS,28,phishing
184,328572,2077,9837.61,10/21/2023 20:46,0,,Pune,,25,phishing
185,933114,2031,2672.824,10-04-2023 10:19,0,MasterCard,Chennai,Digital,25,Payment card fraud
186,,2045,1611.918,10-07-2023 11:24,0,Rupay,Bangalore,Digital,50,phishing
187,899885,2015,1257.78,10-12-2023 19:11,0,MasterCard,Jaipur,POS,24,phishing
,,2067,3067.59,03/26/2024 12:28,0,Visa,Hyderabad,Digital,55,Payment card fraud
189,,2036,1583.115,01/14/2024 01:48,1,MasterCard,Jaipur,Digital,38,Malware
190,807678,2053,6937.01,03-07-2024 08:38,1,,Ahmedabad,,25,Identity theft
191,972708,2084,1004.7,02-07-2024 23:43,0,Rupay,Mumbai,Digital,68,phishing
192,954155,2013,7678.125,11-08-2023 00:40,0,Rupay,Ahmedabad,POS,38,Malware
193,390586,2094,10963.843,02/16/2024 20:09,,MasterCard,,POS,37,scam
194,383298,2054,12223.5,,0,Rupay,Pune,Digital,25,Identity theft
195,913089,2047,9257.145,11/19/2023 03:43,0,Rupay,Kolkata,Digital,63,
196,187205,2081,4645.83,02/14/2024 00:52,,Rupay,Bangalore,Digital,48,Malware
197,,2006,9386.64,02/27/2024 03:54,1,Rupay,Pune,POS,67,Identity theft
198,702484,2073,6352.872,02/19/2024 14:30,0,Rupay,Delhi,POS,46,
199,881954,2006,4718.483,09/27/2023 18:49,,,Kolkata,POS,65,Malware
200,758784,2032,1350.57,12/23/2023 18:31,1,Rupay,Pune,POS,26,phishing
201,688115,2022,8871.71,11-11-2023 11:11,0,Visa,Chennai,Digital,32,phishing
202,845201,2084,5430.432,,1,MasterCard,Jaipur,Digital,47,Identity theft
203,701914,2018,2979.735,02/16/2024 00:56,,MasterCard,Ahmedabad,Digital,43,Identity theft
204,426879,2018,6120.1965,12-07-2023 23:13,0,MasterCard,Kolkata,POS,27,Payment card fraud
205,800623,2035,5004.708,12-09-2023 22:32,1,Rupay,Chennai,Digital,46,
206,271588,2028,9112.4,10/19/2023 21:58,0,Visa,Ahmedabad,Digital,33,Malware
207,,2059,8819.352,03/14/2024 08:20,0,Rupay,Delhi,Digital,53,Payment card fraud
208,571925,2081,13868.244,11-04-2023 00:50,0,MasterCard,Surat,Digital,37,phishing
209,798689,2001,159.76,11-07-2023 09:42,1,MasterCard,Kolkata,Digital,62,Malware
210,184365,2000,4609.803,10/18/2023 07:02,0,MasterCard,Chennai,Digital,54,scam
211,975096,2046,7259.055,09-07-2023 03:04,1,,Ahmedabad,,39,
212,715145,2068,240.96,10-05-2023 11:12,1,Rupay,Ahmedabad,Digital,24,Identity theft
213,524892,2019,4347.981,09/29/2023 02:46,,Visa,Pune,Digital,40,
214,159754,2010,7614.88,01/23/2024 20:14,,Visa,Mumbai,,58,Malware
215,791161,2001,1414.24,11/19/2023 13:43,1,MasterCard,Pune,POS,57,Malware
216,836425,2066,5913.974,10-09-2023 06:19,0,Visa,Chennai,Digital,46,
217,910349,2086,2629.512,12/22/2023 17:48,0,MasterCard,Hyderabad,Digital,33,phishing
218,682781,2011,,11/23/2023 06:11,0,MasterCard,Jaipur,POS,55,Identity theft
219,458964,2019,4409.91,11-08-2023 01:09,1,Visa,,Digital,45,Malware
220,602761,2004,,10/26/2023 04:19,0,MasterCard,Pune,,65,Payment card fraud
221,488917,2036,8025.29,10/27/2023 14:15,1,Visa,Ahmedabad,Digital,55,phishing
222,820079,2037,9597.79,,0,MasterCard,Ahmedabad,Digital,48,scam
223,906307,2093,7356.225,02-02-2024 23:42,0,Visa,Surat,Digital,31,Identity theft
224,766461,2008,1370.256,09/13/2023 16:20,0,,Kolkata,Digital,50,Payment card fraud
225,853825,2097,5502.2,09-06-2023 22:28,0,Visa,Surat,Digital,26,Malware
226,183701,2052,4571.05,12/25/2023 20:43,0,MasterCard,Jaipur,,44,
227,,2043,9296.485,11/15/2023 06:08,0,MasterCard,Delhi,POS,41,Payment card fraud
228,253440,2098,1538.88,02-07-2024 23:49,1,MasterCard,Pune,Digital,30,
229,756622,2085,5398.8,,0,Visa,Bangalore,POS,,Identity theft
230,169917,2023,1697.278,01-03-2024 07:13,1,Rupay,Chennai,Digital,46,Identity theft
231,607905,2080,3280.53,10/24/2023 14:52,0,MasterCard,Chennai,POS,68,scam
232,719379,2073,8864.04,01/23/2024 06:39,0,MasterCard,Delhi,Digital,66,Payment card fraud
233,310462,,5743.656,02/29/2024 20:09,0,Visa,Kolkata,Digital,60,Malware
234,813415,2058,6822.162,01/25/2024 05:24,0,MasterCard,Pune,Digital,45,Payment card fraud
235,175971,2086,4770.048,09-01-2023 17:41,1,MasterCard,Jaipur,,45,phishing
236,938522,2095,5545.8,,0,MasterCard,Mumbai,POS,25,Malware
237,635197,2080,7860.91,11-12-2023 11:28,0,MasterCard,Surat,Digital,40,Malware
238,344115,2080,13389.36,,1,Rupay,Delhi,Digital,46,Malware
239,918144,2013,9555.58,09/29/2023 10:51,0,Rupay,Mumbai,Digital,22,scam
240,759403,2008,14183.442,03/19/2024 23:24,1,MasterCard,Surat,Digital,59,Malware
241,639470,2039,4782.45,09/16/2023 05:50,1,MasterCard,Delhi,POS,24,Identity theft
242,883348,2065,6896.94,10-02-2023 13:17,0,MasterCard,Chennai,POS,59,Identity theft
,474567,2024,7927.47,11/22/2023 00:52,0,Rupay,Chennai,POS,53,scam
244,237102,2072,4263.5505,11-03-2023 23:06,1,Rupay,,Digital,58,Identity theft
245,582905,2021,8416.67,01/16/2024 20:01,0,Visa,Surat,Digital,44,scam
246,451009,2003,432.34,03/26/2024 18:17,0,,Bangalore,POS,,phishing
247,850657,2025,9924.783,12/21/2023 06:15,1,MasterCard,Jaipur,Digital,19,Identity theft
248,382504,2057,5105.87,12/14/2023 22:31,1,MasterCard,Hyderabad,POS,42,Payment card fraud
249,670262,2028,7029.165,11/14/2023 11:10,1,Rupay,Kolkata,POS,26,Malware
250,872761,2097,6610.57,09-06-2023 16:03,0,MasterCard,Kolkata,POS,44,Malware
251,715747,2086,8956.42,,0,MasterCard,Surat,Digital,18,
252,177561,2036,10535.019,09-09-2023 04:42,1,Rupay,Delhi,Digital,40,
253,780072,2074,11085.552,02-12-2024 03:18,1,Rupay,Delhi,POS,27,phishing
254,950908,2069,784.509,10/21/2023 09:12,1,Rupay,Hyderabad,,59,Payment card fraud
255,872021,,8593.464,12-08-2023 00:26,1,Rupay,Jaipur,,69,Payment card fraud
256,847573,,1544.18,03-05-2024 21:15,1,Visa,Pune,Digital,42,Identity theft
257,251086,2041,7387.47,03/22/2024 06:16,0,Rupay,Jaipur,POS,20,Malware
258,883031,2099,5146.61,02-10-2024 06:00,0,Rupay,Pune,Digital,23,
259,383532,2040,8181.924,01/24/2024 08:34,0,MasterCard,Hyderabad,Digital,23,Malware
260,287660,2037,464.65,11-04-2023 10:02,1,MasterCard,,Digital,,
261,471951,2033,983.048,01-09-2024 22:02,0,MasterCard,Bangalore,Digital,35,phishing
262,612586,2016,,01/18/2024 18:22,,Visa,Ahmedabad,POS,40,Identity theft
,668386,2036,843.964,02/13/2024 10:14,1,Rupay,Jaipur,Digital,19,Payment card fraud
264,291276,2024,834.9,09-09-2023 18:41,0,,,Digital,29,phishing
265,650772,2075,170.48,11/13/2023 09:12,1,Visa,Chennai,POS,,phishing
266,617700,2086,9567.19,11/19/2023 17:24,0,Rupay,Bangalore,POS,54,Malware
267,539639,2085,8865.852,11/13/2023 13:02,0,,Jaipur,Digital,37,Payment card fraud
,724388,2084,4277.82,12-12-2023 06:44,0,Visa,Pune,POS,56,scam
269,874415,2026,3000.53,02/23/2024 13:19,0,Rupay,,Digital,41,scam
270,306084,2056,3529.55,03/23/2024 08:28,0,Visa,Hyderabad,Digital,65,Identity theft
271,716262,2030,7757.8,,0,Visa,Hyderabad,POS,37,
272,685850,2005,,03/22/2024 12:46,0,Rupay,Surat,POS,18,phishing
273,949851,2090,2271.24,,0,,Kolkata,POS,18,phishing
274,550895,2039,2138.868,11/15/2023 06:51,0,Rupay,Mumbai,POS,34,Identity theft
275,914903,2097,1697.916,12/25/2023 04:36,0,Rupay,Chennai,Digital,18,
276,,2011,7944.012,02/29/2024 15:35,0,MasterCard,Surat,Digital,69,Payment card fraud
277,,,12631.5915,02/19/2024 03:42,1,Rupay,Bangalore,POS,62,Identity theft
278,289156,2070,2687.21,03-08-2024 14:42,0,Rupay,Pune,Digital,47,phishing
,671432,2009,284.24,11/27/2023 16:56,,Rupay,Jaipur,POS,58,Malware
280,556350,2044,867.61,10/15/2023 16:42,1,Visa,,POS,64,Malware
,436249,,17424.378,01/24/2024 03:11,1,Visa,Chennai,POS,20,phishing
282,974385,2025,3587.616,11/14/2023 20:21,0,Visa,Mumbai,Digital,63,Payment card fraud
283,325373,2084,7703.77,12/15/2023 10:46,1,Rupay,Delhi,Digital,28,Payment card fraud
284,756791,2091,6265.4,12-08-2023 08:15,0,MasterCard,Ahmedabad,Digital,41,scam
285,879478,2061,3850.3,,0,Visa,,Digital,39,scam
286,429838,2045,2096.59,11/23/2023 08:49,1,MasterCard,Surat,Digital,61,phishing
,618535,2063,1383.569,09/17/2023 12:29,0,Rupay,Mumbai,,62,scam
288,900633,2001,6786.318,01-03-2024 17:32,0,Visa,Pune,Digital,,Malware
289,229925,2053,8533.371,03/28/2024 18:17,0,Rupay,Jaipur,Digital,30,Malware
290,420910,2064,7748.22,10/30/2023 18:40,,MasterCard,Bangalore,,18,Payment card fraud
291,547137,2050,8788.7415,02-06-2024 01:17,1,Visa,Delhi,Digital,41,phishing
292,552098,2052,,10-04-2023 17:05,1,Visa,,Digital,,Malware
293,209579,2035,10655.106,03/25/2024 19:09,0,Visa,,POS,52,Payment card fraud
294,939618,2025,11995.815,10/20/2023 01:44,0,Visa,Hyderabad,,41,Malware
295,523952,2028,2963.58,03/17/2024 17:18,0,MasterCard,Mumbai,Digital,45,phishing
296,516408,2020,17641.26,04-01-2024 03:05,0,,Mumbai,Digital,53,scam
297,998799,2010,6038.72,02-03-2024 10:57,1,Rupay,Kolkata,POS,33,scam
298,704385,2039,5845.11,01-04-2024 10:49,0,Visa,,Digital,57,Payment card fraud
299,840028,2010,8242.663,12-03-2023 10:05,0,MasterCard,Kolkata,Digital,33,
,629767,2035,9752.532,03-11-2024 16:02,1,Visa,Kolkata,,34,Payment card fraud
301,344685,2058,7240.156,09-07-2023 10:42,,MasterCard,Jaipur,Digital,68,Payment card fraud
302,,2038,1457.005,,0,MasterCard,Pune,Digital,32,scam
303,660326,2098,3415.76,12/20/2023 20:52,0,Rupay,Kolkata,Digital,33,Payment card fraud
304,511081,2053,9284.43,01/21/2024 06:15,0,Visa,Mumbai,Digital,32,Payment card fraud
305,765372,2097,3427.395,10/21/2023 05:20,0,Visa,Surat,POS,51,scam
306,464505,2054,6192.549,11-07-2023 00:30,0,Visa,Surat,POS,28,scam
,867637,2023,5218.992,12-01-2023 06:58,0,Rupay,Hyderabad,Digital,,Malware
308,,2021,6633.12,02/25/2024 00:15,0,Rupay,Surat,Digital,32,phishing
309,847283,2068,7378.5,02-03-2024 12:56,0,MasterCard,Hyderabad,POS,43,phishing
310,889005,2055,9433.6,11/24/2023 14:26,0,MasterCard,Surat,Digital,68,Payment card fraud
311,175944,2032,4400.802,01/14/2024 00:11,0,MasterCard,Ahmedabad,Digital,21,Payment card fraud
